space_id,url,name,country,city,address,latitude,longitude,star_rating,review_count,happiness_score,resource_type,all_resource_types,price,price_currency,price_duration,price_usd,hot_desk_month_price,dedicated_desk_month_price,capacity,max_meeting_room_capacity,amenities_list,has_wifi,has_meeting_rooms,has_kitchen,has_natural_light,has_24_7_access,has_printer,has_phone_booth,has_air_conditioning,has_coffee_tea,has_standing_desks,has_ergonomic_chairs,has_events_workshops,has_parking,has_lounge_relaxation,has_pet_friendly
25009,https://www.coworker.com/canada/toronto/regus-ontario-toronto-toronto-street,"Regus - Ontario, Toronto - Toronto Street",Canada,Toronto,"36 Toronto Street, Suite 850",43.653226,-79.3831843,5.0,1,5.0,Private Workspace,Private Workspace; Dedicated Desks; Virtual Office,,CAD,,,,499.0,,10.0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26098,https://www.coworker.com/canada/toronto/regus-ontario-scarborough-10-milner-business-court,"Regus - Ontario, Scarborough - 10 Milner Business Court",Canada,Toronto,10 Milner Business Court,43.653226,-79.3831843,5.0,1,5.0,Hot Desk,Private Workspace; Hot Desks; Virtual Office,359.0,CAD,month,272.0,359.0,,0.0,8.0,"[""Parking"", ""5 Minute Walk From Public Transit"", ""Air Conditioning"", ""Wheelchair Accessibility"", ""High-Speed WiFi"", ""Lounge / Chill-out Area"", ""Gym"", ""Ergonomic Chairs""]",1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
23465,https://www.coworker.com/canada/toronto/regus-toronto-north-american-centre,Regus - Toronto North American Centre,Canada,Toronto,"5700 Yonge Street, North American Centre, Suite 200",43.653226,-79.3831843,5.0,2,5.0,Hot Desk,Private Workspace; Hot Desks; Virtual Office,265.0,CAD,month,201.0,265.0,,,12.0,"[""5 Minute Walk From Public Transit"", ""Air Conditioning"", ""Wheelchair Accessibility"", ""High-Speed WiFi"", ""Lounge / Chill-out Area"", ""Gym"", ""Onsite Cafe"", ""Childcare"", ""Ergonomic Chairs"", ""Outdoor Terrace""]",1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
3914,https://www.coworker.com/canada/toronto/workhaus-fidi,Workhaus FiDi,Canada,Toronto,56 Temperance Street,43.653226,-79.3831843,5.0,18,5.0,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,25.0,CAD,day,19.0,350.0,495.0,140.0,12.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Standing Desks"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Community Lunches"", ""Community Drinks"", ""Facebook Group for Members"", ""Slack Channel For Members"", ""Community App"", ""Printer"", ""Scanner"", ""Photocopier"", ""Phone Booth"", ""Wheelchair Accessibility"", ""24hr member access"", ""Free Tea""]",1,0,1,0,0,1,1,1,1,1,1,1,0,1,0
8444,https://www.coworker.com/canada/toronto/workhaus-commerce-court,Workhaus Commerce Court,Canada,Toronto,30 Wellington St. W.,43.653226,-79.3831843,5.0,9,5.0,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,350.0,CAD,month,265.0,350.0,350.0,350.0,16.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Standing Desks"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Community Lunches"", ""Community Drinks"", ""Facebook Group for Members"", ""Slack Channel For Members"", ""Community App"", ""Printer"", ""Scanner"", ""Photocopier"", ""Podcasting Room"", ""Phone Booth"", ""Library"", ""Wheelchair Accessibility"", ""24hr member access"", ""Free Tea""]",1,0,1,0,0,1,1,1,1,1,1,1,0,1,0
11286,https://www.coworker.com/canada/toronto/workhaus-spadina,Workhaus Spadina,Canada,Toronto,215 Spadina Avenue,43.653226,-79.3831843,5.0,1,5.0,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,350.0,CAD,month,265.0,350.0,350.0,225.0,10.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Standing Desks"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Community Lunches"", ""Community Drinks"", ""Facebook Group for Members"", ""Slack Channel For Members"", ""Community App"", ""Organized Sports Team"", ""Printer"", ""Scanner"", ""Photocopier"", ""Chromecast"", ""Personal Lockers"", ""Phone Booth"", ""Bike Parking"", ""5 Minute Walk From Public Transit"", ""24hr member access"", ""Free Tea""]",1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
11175,https://www.coworker.com/canada/toronto/workhaus-bay-loft,Workhaus Bay Loft,Canada,Toronto,"Floor 13, 350 Bay Street",43.653226,-79.3831843,5.0,1,5.0,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,350.0,CAD,month,265.0,350.0,350.0,80.0,6.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Standing Desks"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Community Lunches"", ""Community Drinks"", ""Facebook Group for Members"", ""Slack Channel For Members"", ""Community App"", ""Printer"", ""Scanner"", ""Photocopier"", ""Phone Booth"", ""24hr member access"", ""Free Tea""]",1,0,1,0,0,1,1,1,1,1,1,1,0,1,0
11181,https://www.coworker.com/canada/toronto/workhaus-castle,Workhaus Castle,Canada,Toronto,212 King Street West,43.653226,-79.3831843,5.0,1,5.0,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,350.0,CAD,month,265.0,350.0,495.0,220.0,14.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Standing Desks"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Community Lunches"", ""Community Drinks"", ""Facebook Group for Members"", ""Slack Channel For Members"", ""Community App"", ""Printer"", ""Scanner"", ""Photocopier"", ""Phone Booth"", ""24hr member access"", ""Free Tea""]",1,0,1,0,0,1,1,1,1,1,1,1,0,1,0
24575,https://www.coworker.com/canada/toronto/regus-ontario-toronto-queen-bay,"Regus - Ontario, Toronto - Queen & Bay",Canada,Toronto,"401 Bay Street, 16th Floor",43.653226,-79.3831843,5.0,1,5.0,Private Workspace,Private Workspace; Virtual Office,,CAD,,,,,,8.0,"[""Parking"", ""5 Minute Walk From Public Transit"", ""Air Conditioning"", ""Kitchen"", ""High-Speed WiFi"", ""Lounge / Chill-out Area"", ""Onsite Cafe"", ""Ergonomic Chairs""]",1,0,1,0,0,0,0,1,0,0,1,0,1,1,0
37414,https://www.coworker.com/portugal/angra-do-heroismo/startup-angra,StartUp Angra,Portugal,Angra do Heroismo,"Rua do Marquês, 14 9700-117 Angra do Heroísmo, Portugal",38.6635375,-27.2293969,,0,,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks; Virtual Office,20.0,EUR,month,22.0,20.0,20.0,20.0,8.0,"[""High-Speed WiFi"", ""Heating"", ""Standing Desks"", ""Kitchen"", ""Free Drinking Water"", ""Events"", ""Workshops"", ""Community Lunches"", ""Facebook Group for Members"", ""Mentorship Programs"", ""Pitching events"", ""Incubator programs"", ""Accelerator programs"", ""Printer"", ""Scanner"", ""3D Printer"", ""Projector"", ""Outdoor Terrace"", ""Table Football / Foosball"", ""Library"", ""Parking"", ""Bike Parking"", ""5 Minute Walk From Public Transit"", ""24hr member access"", ""Alcohol available for purchase"", ""Snacks Available for Purchase"", ""Coffee For Purchase""]",1,0,1,0,0,1,0,1,1,1,0,1,1,0,0
